article_id,titre,texte,categorie,source,date_publication,nb_mots,prediction,latence_ms
39,Grève SNCF : syndicats rejettent les propositions salariales,"La troisième journée de grève a paralysé un quart du trafic TGV. Les syndicats rejettent la hausse de 4,3 pourcent proposée sur deux ans.",economie,L'Équipe,2024-06-16,24,politique,536.7589999996198
40,La France prend la présidence de l'UE,"Mise à jour — Paris a officiellement pris la présidence tournante du Conseil de l'UE pour six mois, avec pour priorités l'union de l'énergie et la régulation numérique.",politique,AFP,2024-02-05,28,politique,543.6783999994077
41,Cannes : Palme d'or pour Wim Wenders,"Selon nos informations, la Palme d'or a été décernée au film de Wim Wenders, Les Jardins du temps, par le jury de Greta Gerwig.",culture,L'Équipe,2024-11-17,24,culture,528.3423000000766
42,Tour de France : le maillot jaune résiste dans les Alpes,"Le porteur du maillot jaune a conservé son avantage lors de la quinzième étape arrivée à l'Alpe d'Huez. Landa gagne l'étape, le classement général reste inchangé. Les autorités compétentes n'ont pas commenté.",sport,Libération,2024-10-03,32,sport,585.2617000000464
43,Pollution au plomb : le maire mis en cause,Une information judiciaire est ouverte contre un maire de Seine-et-Marne pour mise en danger d'autrui après la découverte de plomb dans l'eau potable.,faits_divers,L'Équipe,2024-09-08,23,politique,627.906300000177
44,Prix Goncourt pour Kamel Daoud,"L'académie Goncourt couronne Kamel Daoud pour son roman Houris, une fresque sur la décennie noire en Algérie.",culture,Reuters,2024-12-27,17,culture,502.59659999937867
45,Léon Marchand améliore son record du monde du 200 m brasse,"Mise à jour — Dans le Centre aquatique olympique, Léon Marchand abaisse de sept centièmes son propre record du monde du 200 mètres brasse.",sport,Le Parisien,2024-04-02,24,sport,504.89010000001144
46,Fraude fiscale : cinq ans de prison ferme pour l'homme d'affaires,Le tribunal de Paris condamne un homme d'affaires à cinq ans ferme et deux millions d'euros d'amende pour fraude fiscale et blanchiment.,faits_divers,Libération,2024-05-05,22,economie,539.168599999357
47,Réseau de fraude bancaire démantelé à Marseille,Mise à jour — La BRDA démantèle un réseau de faux conseillers bancaires avec dix-sept interpellations. Le préjudice est estimé à trois millions d'euros.,faits_divers,L'Équipe,2024-03-20,24,economie,515.9068000002662
48,"Tempête Ciaran : douze départements en rouge, vents à 200 km/h",,faits_divers,Les Échos,2024-03-13,0,faits_divers,441.1476000004768
49,Prix Goncourt pour Kamel Daoud,"Mise à jour — L'académie Goncourt couronne Kamel Daoud pour son roman Houris, une fresque sur la décennie noire en Algérie.",culture,Le Figaro,2024-03-22,21,culture,486.0500000004322
50,Incendie à Aubervilliers : sept blessés,"Mise à jour — Un violent incendie s'est déclaré dans un immeuble de dix étages à Aubervilliers, causant sept blessés dont trois graves après inhalation de fumées toxiques.",faits_divers,Libération,2024-03-14,28,faits_divers,542.7536999995937
51,Braquage de bijouterie à Lyon : 400 000 euros de butin,"Mise à jour — Trois individus armés ont braqué une bijouterie du centre de Lyon, emportant environ 400 000 euros de bijoux et d'espèces.",faits_divers,Les Échos,2024-06-13,24,faits_divers,528.8393000000724
52,La BCE relève ses taux pour la troisième fois,"La Banque centrale européenne relève ses taux de 25 points de base, portant le taux de dépôt à 4,25 pourcent. Les autorités compétentes n'ont pas commenté.",economie,Reuters,2024-11-01,26,politique,543.0939999996554
53,"Chômage : le taux remonte à 7,4 pourcent au T3","Selon nos informations, la Dares publie des statistiques en hausse avec un taux de chômage à 7,4 pourcent sous l'effet de licenciements dans l'industrie manufacturière.",economie,L'Équipe,2024-12-13,25,economie,529.5541999994384
54,Disparition d'une adolescente dans le Vaucluse,Mise à jour — Les gendarmes du Vaucluse lancent un avis de recherche après la disparition d'une adolescente de quinze ans depuis quatre jours.,faits_divers,Les Échos,2024-05-18,24,faits_divers,496.87400000038906
55,"Le Louvre atteint 9,6 millions de visiteurs en 2024","Le musée du Louvre enregistre un record historique d'entrées, porté par la réouverture de la salle de La Joconde après deux ans de rénovation. Les autorités compétentes n'ont pas commenté.",culture,Reuters,2024-05-09,30,culture,550.5980999996609
56,Conseil des ministres : réforme éducative adoptée,"Le Premier ministre a présidé un conseil des ministres extraordinaire. Le projet de loi portant réforme du système éducatif a été adopté en première lecture, prévoyant la révision des programmes et la revalorisation des enseignants. L'opposition a annoncé sa saisine du Conseil constitutionnel. Les autorités compétentes n'ont pas commenté.",politique,Reuters,2024-03-07,49,politique,645.3736000003119
57,Réseau de fraude bancaire démantelé à Marseille,La BRDA démantèle un réseau de faux conseillers bancaires avec dix-sept interpellations. Le préjudice est estimé à trois millions d'euros.,faits_divers,AFP,2024-01-06,20,economie,572.9977000000872
58,"Chômage : le taux remonte à 7,4 pourcent au T3","Mise à jour — La Dares publie des statistiques en hausse avec un taux de chômage à 7,4 pourcent sous l'effet de licenciements dans l'industrie manufacturière.",economie,Le Figaro,2024-10-04,26,economie,565.5719000005774
59,Référendum en Nouvelle-Calédonie : résultat contesté,"Mise à jour — Le référendum a donné 96,5 pourcent pour le maintien, chiffre jugé non représentatif par les indépendantistes qui boycottaient le scrutin.",politique,Libération,2024-02-14,24,faits_divers,518.9082999995662
60,Remaniement : trois secrétaires d'État remplacés,Mise à jour — L'Élysée a confirmé le remplacement de trois secrétaires d'État suite aux résultats décevants des dernières élections municipales partielles.,politique,Le Figaro,2024-08-21,22,politique,535.3657000005114
61,Sommet franco-allemand à l'Élysée,Le président a accueilli son homologue allemand pour un sommet bilatéral sur la politique énergétique européenne. Une déclaration commune a été signée sur la refondation de Schengen.,politique,Le Monde,2024-10-22,27,politique,534.6355000001495
62,Rugby mondial : l'Afrique du Sud conserve son titre,Mise à jour — Les Springboks décrochent leur quatrième étoile mondiale en battant la Nouvelle-Zélande 12 à 11 dans une finale serrée à Saint-Denis.,sport,Le Figaro,2024-10-16,24,sport,525.641799999903
63,Disparition d'une adolescente dans le Vaucluse,Les gendarmes du Vaucluse lancent un avis de recherche après la disparition d'une adolescente de quinze ans depuis quatre jours. Les autorités compétentes n'ont pas commenté.,faits_divers,AFP,2024-11-07,26,faits_divers,542.1532000000298
64,Paralympiques de Paris : record d'audience télévisée,"Selon nos informations, les Jeux paralympiques de Paris 2024 établissent un record avec 4,2 millions de téléspectateurs par soirée, soit une progression de 40 pourcent.",sport,Le Figaro,2024-06-06,25,sport,526.8047999998089
65,TotalEnergies annonce un bénéfice record de 19 milliards,"Selon nos informations, le groupe pétrolier publie 19,2 milliards d'euros de bénéfice net, en hausse de 28 pourcent. Hausse du dividende et rachat d'actions annoncés.",economie,AFP,2024-12-24,25,economie,542.2320000006948
66,"LVMH rachète Valentino pour 4,5 milliards","Mise à jour — Le groupe de luxe finalise l'acquisition de la maison italienne Valentino pour 4,5 milliards d'euros, portant à 75 le nombre de ses maisons.",economie,Le Figaro,2024-05-16,27,economie,522.6024000003235
67,"Le Louvre atteint 9,6 millions de visiteurs en 2024","Le musée du Louvre enregistre un record historique d'entrées, porté par la réouverture de la salle de La Joconde après deux ans de rénovation. Les autorités compétentes n'ont pas commenté.",culture,Le Monde,2024-09-03,30,culture,571.463400000539
68,Rugby mondial : l'Afrique du Sud conserve son titre,"Selon nos informations, les Springboks décrochent leur quatrième étoile mondiale en battant la Nouvelle-Zélande 12 à 11 dans une finale serrée à Saint-Denis.",sport,AFP,2024-03-03,23,sport,533.5200999998051
69,"Festival d'Avignon : 180 000 spectateurs, un record","Mise à jour — La 77e édition du Festival d'Avignon clôture sur un bilan record de 180 000 spectateurs, soit une hausse de 12 pourcent.",culture,AFP,2024-03-23,25,politique,492.9927000002863
70,La France prend la présidence de l'UE,"Mise à jour — Paris a officiellement pris la présidence tournante du Conseil de l'UE pour six mois, avec pour priorités l'union de l'énergie et la régulation numérique.",politique,Les Échos,2024-04-06,28,politique,544.2003000007389
71,"Festival d'Avignon : 180 000 spectateurs, un record","Mise à jour — La 77e édition du Festival d'Avignon clôture sur un bilan record de 180 000 spectateurs, soit une hausse de 12 pourcent.",culture,Le Monde,2024-03-06,25,politique,517.342500000268
72,Sommet franco-allemand à l'Élysée,Le président a accueilli son homologue allemand pour un sommet bilatéral sur la politique énergétique européenne. Une déclaration commune a été signée sur la refondation de Schengen. Les autorités compétentes n'ont pas commenté.,politique,Le Figaro,2024-03-16,33,politique,600.680000000466
73,Léon Marchand améliore son record du monde du 200 m brasse,"Mise à jour — Dans le Centre aquatique olympique, Léon Marchand abaisse de sept centièmes son propre record du monde du 200 mètres brasse.",sport,L'Équipe,2024-02-01,24,sport,530.5145000002085
74,Budget 2025 adopté en première lecture à l'Assemblée,"Selon nos informations, après trois semaines de débats et l'utilisation du 49-3, l'Assemblée a adopté le PLF 2025 visant un déficit à 3,2 pourcent du PIB.",politique,Libération,2024-05-13,26,economie,537.3953999996957
75,"Inflation : les prix ralentissent à 2,1 pourcent","Mise à jour — L'INSEE a publié ses données d'octobre. La hausse des prix ressort à 2,1 pourcent sur un an, son niveau le plus bas depuis vingt-six mois, portée par la détente de l'énergie.",economie,AFP,2024-03-02,35,economie,582.3754000002737
76,Budget 2025 adopté en première lecture à l'Assemblée,"Mise à jour — Après trois semaines de débats et l'utilisation du 49-3, l'Assemblée a adopté le PLF 2025 visant un déficit à 3,2 pourcent du PIB.",politique,AFP,2024-03-02,27,economie,510.6100000002698
77,Cannes : Palme d'or pour Wim Wenders,"Selon nos informations, la Palme d'or a été décernée au film de Wim Wenders, Les Jardins du temps, par le jury de Greta Gerwig.",culture,Le Parisien,2024-12-23,24,culture,522.7021999999124
78,Référendum en Nouvelle-Calédonie : résultat contesté,"Le référendum a donné 96,5 pourcent pour le maintien, chiffre jugé non représentatif par les indépendantistes qui boycottaient le scrutin. Les autorités compétentes n'ont pas commenté.",politique,Le Parisien,2024-03-22,26,faits_divers,567.0250999992277
79,Carambolage sur l'A10 : trois morts et douze blessés,Mise à jour — Un carambolage de dix-sept véhicules dont trois poids lourds sur l'A10 à Dourdan a causé trois morts et douze blessés dont quatre en urgence absolue.,faits_divers,Le Figaro,2024-10-20,29,faits_divers,583.5239999996702
80,Léon Marchand améliore son record du monde du 200 m brasse,"Mise à jour — Dans le Centre aquatique olympique, Léon Marchand abaisse de sept centièmes son propre record du monde du 200 mètres brasse.",sport,Le Parisien,2024-08-05,24,sport,504.3964999995296
81,Le CAC 40 franchit les 8 000 points pour la première fois,"Selon nos informations, la Bourse de Paris inscrit un record historique, le CAC 40 franchissant le niveau symbolique des 8 000 points en séance.",economie,AFP,2024-11-09,24,economie,515.7380000000558
82,Accord UE-Mercosur : mobilisation des agriculteurs,,economie,Les Échos,2024-06-28,0,politique,431.5113000002384
83,Le CAC 40 franchit les 8 000 points pour la première fois,"Mise à jour — La Bourse de Paris inscrit un record historique, le CAC 40 franchissant le niveau symbolique des 8 000 points en séance.",economie,Reuters,2024-08-11,25,economie,502.6815999999599
84,Faillite de Butagaz : 800 emplois menacés,"Le fournisseur de gaz en bouteille dépose son bilan, mettant en péril 800 emplois. Un repreneur est activement recherché. Les autorités compétentes n'ont pas commenté.",economie,Le Figaro,2024-07-21,25,faits_divers,519.2171999997299
85,Ballon d'Or : le milieu du Real Madrid sacré pour la quatrième fois,Le milieu de terrain du Real Madrid remporte le Ballon d'Or pour la quatrième fois de sa carrière lors de la cérémonie au Châtelet à Paris.,sport,L'Équipe,2024-11-22,26,sport,535.1563000003807
86,Ligue 1 : Monaco champion de France dix ans après,"Monaco décroche son dixième titre de champion en battant Marseille 3-1, devançant le PSG d'un seul point lors de la dernière journée.",sport,Reuters,2024-10-16,22,sport,506.60659999994095
87,Carambolage sur l'A10 : trois morts et douze blessés,Un carambolage de dix-sept véhicules dont trois poids lourds sur l'A10 à Dourdan a causé trois morts et douze blessés dont quatre en urgence absolue. Les autorités compétentes n'ont pas commenté.,faits_divers,Le Parisien,2024-02-17,31,politique,617.4894999994649
88,Bordeaux bascule à gauche après vingt ans,,politique,Le Figaro,2024-07-02,0,politique,407.5861999999688
89,Budget 2025 adopté en première lecture à l'Assemblée,"Après trois semaines de débats et l'utilisation du 49-3, l'Assemblée a adopté le PLF 2025 visant un déficit à 3,2 pourcent du PIB. Les autorités compétentes n'ont pas commenté.",politique,L'Équipe,2024-07-15,29,economie,575.5363999996916
90,"Festival d'Avignon : 180 000 spectateurs, un record","Mise à jour — La 77e édition du Festival d'Avignon clôture sur un bilan record de 180 000 spectateurs, soit une hausse de 12 pourcent.",culture,Le Figaro,2024-02-01,25,politique,512.9737999995996
91,Prix Goncourt pour Kamel Daoud,"L'académie Goncourt couronne Kamel Daoud pour son roman Houris, une fresque sur la décennie noire en Algérie. Les autorités compétentes n'ont pas commenté.",culture,Le Monde,2024-12-19,23,faits_divers,501.3243000003058
92,Ballon d'Or : le milieu du Real Madrid sacré pour la quatrième fois,Mise à jour — Le milieu de terrain du Real Madrid remporte le Ballon d'Or pour la quatrième fois de sa carrière lors de la cérémonie au Châtelet à Paris.,sport,Les Échos,2024-02-23,30,sport,538.584400000218
93,Carambolage sur l'A10 : trois morts et douze blessés,Un carambolage de dix-sept véhicules dont trois poids lourds sur l'A10 à Dourdan a causé trois morts et douze blessés dont quatre en urgence absolue.,faits_divers,Les Échos,2024-08-23,25,faits_divers,572.1818000001804
94,Disparition d'une adolescente dans le Vaucluse,Mise à jour — Les gendarmes du Vaucluse lancent un avis de recherche après la disparition d'une adolescente de quinze ans depuis quatre jours.,faits_divers,Reuters,2024-09-17,24,faits_divers,487.3393000007127
95,"Chômage : le taux remonte à 7,4 pourcent au T3","La Dares publie des statistiques en hausse avec un taux de chômage à 7,4 pourcent sous l'effet de licenciements dans l'industrie manufacturière. Les autorités compétentes n'ont pas commenté.",economie,Les Échos,2024-12-17,28,politique,554.1328999997859
96,Airbus signe la plus grande commande de l'histoire avec Air India,"Mise à jour — L'avionneur européen annonce une commande ferme de 500 appareils d'Air India lors du Salon de Dubaï, un record mondial.",economie,Les Échos,2024-08-02,23,faits_divers,500.53589999970427
97,Incendie à Aubervilliers : sept blessés,"Mise à jour — Un violent incendie s'est déclaré dans un immeuble de dix étages à Aubervilliers, causant sept blessés dont trois graves après inhalation de fumées toxiques.",faits_divers,Le Parisien,2024-12-17,28,faits_divers,566.993000000366
98,Pollution au plomb : le maire mis en cause,Mise à jour — Une information judiciaire est ouverte contre un maire de Seine-et-Marne pour mise en danger d'autrui après la découverte de plomb dans l'eau potable.,faits_divers,Le Monde,2024-11-16,27,politique,551.1538000000655
99,Ligue 1 : Monaco champion de France dix ans après,"Mise à jour — Monaco décroche son dixième titre de champion en battant Marseille 3-1, devançant le PSG d'un seul point lors de la dernière journée.",sport,Les Échos,2024-02-07,26,sport,506.2179999995351
100,"Le Louvre atteint 9,6 millions de visiteurs en 2024","Mise à jour — Le musée du Louvre enregistre un record historique d'entrées, porté par la réouverture de la salle de La Joconde après deux ans de rénovation.",culture,Le Parisien,2024-02-15,28,culture,543.764199999714
101,Faillite de Butagaz : 800 emplois menacés,"Le fournisseur de gaz en bouteille dépose son bilan, mettant en péril 800 emplois. Un repreneur est activement recherché.",economie,AFP,2024-08-08,19,faits_divers,506.94170000042504
102,Léon Marchand améliore son record du monde du 200 m brasse,"Dans le Centre aquatique olympique, Léon Marchand abaisse de sept centièmes son propre record du monde du 200 mètres brasse.",sport,Libération,2024-07-01,20,sport,517.6037999999608
103,Ballon d'Or : le milieu du Real Madrid sacré pour la quatrième fois,Le milieu de terrain du Real Madrid remporte le Ballon d'Or pour la quatrième fois de sa carrière lors de la cérémonie au Châtelet à Paris. Les autorités compétentes n'ont pas commenté.,sport,Reuters,2024-10-11,32,sport,581.7821999999069
104,Conseil des ministres : réforme éducative adoptée,"Le Premier ministre a présidé un conseil des ministres extraordinaire. Le projet de loi portant réforme du système éducatif a été adopté en première lecture, prévoyant la révision des programmes et la revalorisation des enseignants. L'opposition a annoncé sa saisine du Conseil constitutionnel. Les autorités compétentes n'ont pas commenté.",politique,AFP,2024-02-17,49,politique,654.6797999999399
105,Pollution au plomb : le maire mis en cause,Une information judiciaire est ouverte contre un maire de Seine-et-Marne pour mise en danger d'autrui après la découverte de plomb dans l'eau potable.,faits_divers,Les Échos,2024-04-22,23,politique,502.56609999996726
106,Sommet franco-allemand à l'Élysée,Mise à jour — Le président a accueilli son homologue allemand pour un sommet bilatéral sur la politique énergétique européenne. Une déclaration commune a été signée sur la refondation de Schengen.,politique,Libération,2024-11-08,31,politique,554.304499999489
107,"LVMH rachète Valentino pour 4,5 milliards","Le groupe de luxe finalise l'acquisition de la maison italienne Valentino pour 4,5 milliards d'euros, portant à 75 le nombre de ses maisons. Les autorités compétentes n'ont pas commenté.",economie,Le Parisien,2024-05-08,29,politique,537.9058999997142
108,Versailles ouvre son programme pour les scolaires défavorisés,"Selon nos informations, le château de Versailles lance un programme d'éducation artistique permettant à 50 000 élèves des quartiers prioritaires de visiter le domaine chaque année.",culture,Libération,2024-06-10,26,culture,520.9544999997888
109,Ballon d'Or : le milieu du Real Madrid sacré pour la quatrième fois,"Selon nos informations, le milieu de terrain du Real Madrid remporte le Ballon d'Or pour la quatrième fois de sa carrière lors de la cérémonie au Châtelet à Paris.",sport,Libération,2024-06-16,29,sport,542.3769999997603
110,Le directeur de cabinet du ministre mis en examen,Le directeur de cabinet du ministre de l'Intérieur a été mis en examen pour détournement de fonds. Le ministre a annoncé sa suspension immédiate.,politique,Le Parisien,2024-02-24,24,politique,502.11419999959617
111,"Tempête Ciaran : douze départements en rouge, vents à 200 km/h",Météo-France place douze départements en vigilance rouge. Des rafales de 200 km/h provoquent d'importants dégâts en Bretagne.,faits_divers,Le Parisien,2024-07-03,17,politique,522.4768000007316
112,Roland-Garros : Djokovic s'offre un 24e titre majeur,,sport,Le Parisien,2024-03-05,0,sport,420.1621000001978
113,Référendum en Nouvelle-Calédonie : résultat contesté,"Le référendum a donné 96,5 pourcent pour le maintien, chiffre jugé non représentatif par les indépendantistes qui boycottaient le scrutin.",politique,Le Monde,2024-10-04,20,faits_divers,529.0620999994644
114,"Festival d'Avignon : 180 000 spectateurs, un record","La 77e édition du Festival d'Avignon clôture sur un bilan record de 180 000 spectateurs, soit une hausse de 12 pourcent.",culture,Reuters,2024-11-17,21,culture,500.46819999988656
115,La comédie musicale Brel dépasse le million de spectateurs,"Créée il y a dix-huit mois, la comédie musicale consacrée à Jacques Brel au Palais des sports dépasse le million de spectateurs. Les autorités compétentes n'ont pas commenté.",culture,Le Parisien,2024-09-08,28,sport,564.6571999996013
116,Formule 1 : Verstappen quadruple champion du monde,"Selon nos informations, max Verstappen scelle son quatrième titre mondial consécutif dès le Grand Prix du Mexique avec seize victoires sur dix-neuf courses.",sport,Les Échos,2024-10-15,23,sport,530.169399999977
